,0
0,2015-11-01
1,2015-11-02
2,2015-11-03
3,2015-11-04
4,2015-11-05
5,2015-11-06
6,2015-11-07
7,2015-11-08
8,2015-11-09
9,2015-11-10
10,2015-11-11
11,2015-11-12
12,2015-11-13
13,2015-11-14
14,2015-11-15
15,2015-11-16
16,2015-11-17
17,2015-11-18
18,2015-11-19
19,2015-11-20
20,2015-11-21
21,2015-11-22
22,2015-11-23
23,2015-11-24
24,2015-11-25
25,2015-11-26
26,2015-11-27
27,2015-11-28
28,2015-11-29
29,2015-11-30
30,2015-11-31
31,2015-12-01
32,2015-12-02
33,2015-12-03
34,2015-12-04
35,2015-12-05
36,2015-12-06
37,2015-12-07
38,2015-12-08
39,2015-12-09
40,2015-12-10
41,2015-12-11
42,2015-12-12
43,2015-12-13
44,2015-12-14
45,2015-12-15
46,2015-12-16
47,2015-12-17
48,2015-12-18
49,2015-12-19
50,2015-12-20
51,2015-12-21
52,2015-12-22
53,2015-12-23
54,2015-12-24
55,2015-12-25
56,2015-12-26
57,2015-12-27
58,2015-12-28
59,2015-12-29
60,2015-12-30
61,2015-12-31
62,2016-01-01
63,2016-01-02
64,2016-01-03
65,2016-01-04
66,2016-01-05
67,2016-01-06
68,2016-01-07
69,2016-01-08
70,2016-01-09
71,2016-01-10
72,2016-01-11
73,2016-01-12
74,2016-01-13
75,2016-01-14
76,2016-01-15
77,2016-01-16
78,2016-01-17
79,2016-01-18
80,2016-01-19
81,2016-01-20
82,2016-01-21
83,2016-01-22
84,2016-01-23
85,2016-01-24
86,2016-01-25
87,2016-01-26
88,2016-01-27
89,2016-01-28
90,2016-01-29
91,2016-01-30
92,2016-01-31
93,2016-02-01
94,2016-02-02
95,2016-02-03
96,2016-02-04
97,2016-02-05
98,2016-02-06
99,2016-02-07
100,2016-02-08
101,2016-02-09
102,2016-02-10
103,2016-02-11
104,2016-02-12
105,2016-02-13
106,2016-02-14
107,2016-02-15
108,2016-02-16
109,2016-02-17
110,2016-02-18
111,2016-02-19
112,2016-02-20
113,2016-02-21
114,2016-02-22
115,2016-02-23
116,2016-02-24
117,2016-02-25
118,2016-02-26
119,2016-02-27
120,2016-02-28
121,2016-02-29
122,2016-02-30
123,2016-02-31
124,2016-03-01
125,2016-03-02
126,2016-03-03
127,2016-03-04
128,2016-03-05
129,2016-03-06
130,2016-03-07
131,2016-03-08
132,2016-03-09
133,2016-03-10
134,2016-03-11
135,2016-03-12
136,2016-03-13
137,2016-03-14
138,2016-03-15
139,2016-03-16
140,2016-03-17
141,2016-03-18
142,2016-03-19
143,2016-03-20
144,2016-03-21
145,2016-03-22
146,2016-03-23
147,2016-03-24
148,2016-03-25
149,2016-03-26
150,2016-03-27
151,2016-03-28
152,2016-03-29
153,2016-03-30
154,2016-03-31
155,2016-11-01
156,2016-11-02
157,2016-11-03
158,2016-11-04
159,2016-11-05
160,2016-11-06
161,2016-11-07
162,2016-11-08
163,2016-11-09
164,2016-11-10
165,2016-11-11
166,2016-11-12
167,2016-11-13
168,2016-11-14
169,2016-11-15
170,2016-11-16
171,2016-11-17
172,2016-11-18
173,2016-11-19
