,Home,Away,Year-Month-Day
0,Boston,San Antonio,2015-11-01
1,Miami,Houston,2015-11-01
2,Charlotte,Atlanta,2015-11-01
3,Okla City,Denver,2015-11-01
4,Toronto,Milwaukee,2015-11-01
5,Chicago,Orlando,2015-11-01
6,LA Lakers,Dallas,2015-11-01
7,Houston,Okla City,2015-11-02
8,Golden State,Memphis,2015-11-02
9,LA Clippers,Phoenix,2015-11-02
10,New York,San Antonio,2015-11-02
11,Minnesota,Portland,2015-11-02
12,Brooklyn,Milwaukee,2015-11-02
13,Philadelphia,Cleveland,2015-11-02
14,Dallas,Toronto,2015-11-03
15,Miami,Atlanta,2015-11-03
16,Sacramento,Memphis,2015-11-03
17,Charlotte,Chicago,2015-11-03
18,Detroit,Indiana,2015-11-03
19,New Orleans,Orlando,2015-11-03
20,LA Lakers,Denver,2015-11-03
21,Okla City,Toronto,2015-11-04
22,Golden State,LA Clippers,2015-11-04
23,Utah,Portland,2015-11-04
24,Washington,San Antonio,2015-11-04
25,Indiana,Boston,2015-11-04
26,Phoenix,Sacramento,2015-11-04
27,Houston,Orlando,2015-11-04
28,Cleveland,New York,2015-11-04
29,Atlanta,Brooklyn,2015-11-04
30,Milwaukee,Philadelphia,2015-11-04
31,Portland,Memphis,2015-11-05
32,Chicago,Okla City,2015-11-05
33,Dallas,Charlotte,2015-11-05
34,Denver,Utah,2015-11-05
35,Minnesota,Miami,2015-11-05
36,Phoenix,Detroit,2015-11-06
37,Indiana,Miami,2015-11-06
38,Boston,Washington,2015-11-06
39,Orlando,Toronto,2015-11-06
40,Sacramento,Houston,2015-11-06
41,New Orleans,Atlanta,2015-11-06
42,New York,Milwaukee,2015-11-06
43,Golden State,Denver,2015-11-06
44,Brooklyn,LA Lakers,2015-11-06
45,Cleveland,Philadelphia,2015-11-06
46,San Antonio,Charlotte,2015-11-07
47,Utah,Memphis,2015-11-07
48,Atlanta,Washington,2015-11-07
49,LA Clippers,Houston,2015-11-07
50,Chicago,Minnesota,2015-11-07
51,Dallas,New Orleans,2015-11-07
52,Philadelphia,Orlando,2015-11-07
53,Sacramento,Golden State,2015-11-07
54,Milwaukee,Brooklyn,2015-11-07
55,Portland,Detroit,2015-11-08
56,Miami,Toronto,2015-11-08
57,Okla City,Phoenix,2015-11-08
58,Cleveland,Indiana,2015-11-08
59,New York,LA Lakers,2015-11-08
60,Golden State,Detroit,2015-11-09
61,Indiana,Orlando,2015-11-09
62,Atlanta,Minnesota,2015-11-09
63,LA Clippers,Memphis,2015-11-09
64,Denver,Portland,2015-11-09
65,Sacramento,San Antonio,2015-11-09
66,Philadelphia,Chicago,2015-11-09
67,Cleveland,Utah,2015-11-10
68,Minnesota,Charlotte,2015-11-10
69,Washington,Okla City,2015-11-10
70,Toronto,New York,2015-11-10
71,Milwaukee,Boston,2015-11-10
72,New Orleans,Dallas,2015-11-10
73,Miami,LA Lakers,2015-11-10
74,Boston,Indiana,2015-11-11
75,Portland,San Antonio,2015-11-11
76,Dallas,LA Clippers,2015-11-11
77,Charlotte,New York,2015-11-11
78,Atlanta,New Orleans,2015-11-11
79,Memphis,Golden State,2015-11-11
80,Sacramento,Detroit,2015-11-11
81,Denver,Milwaukee,2015-11-11
82,Orlando,LA Lakers,2015-11-11
83,Philadelphia,Toronto,2015-11-11
84,Houston,Brooklyn,2015-11-11
85,Miami,Utah,2015-11-12
86,Phoenix,LA Clippers,2015-11-12
87,Minnesota,Golden State,2015-11-12
88,Chicago,Charlotte,2015-11-13
89,Boston,Atlanta,2015-11-13
90,Indiana,Minnesota,2015-11-13
91,Memphis,Portland,2015-11-13
92,Orlando,Utah,2015-11-13
93,New York,Cleveland,2015-11-13
94,Denver,Houston,2015-11-13
95,Toronto,New Orleans,2015-11-13
96,Dallas,LA Lakers,2015-11-13
97,Sacramento,Brooklyn,2015-11-13
98,Okla City,Philadelphia,2015-11-13
99,LA Clippers,Detroit,2015-11-14
100,Phoenix,Denver,2015-11-14
101,Washington,Orlando,2015-11-14
102,Houston,Dallas,2015-11-14
103,Milwaukee,Cleveland,2015-11-14
104,San Antonio,Philadelphia,2015-11-14
105,Golden State,Brooklyn,2015-11-14
106,Okla City,Boston,2015-11-15
107,Atlanta,Utah,2015-11-15
108,Charlotte,Portland,2015-11-15
109,Minnesota,Memphis,2015-11-15
110,Sacramento,Toronto,2015-11-15
111,New York,New Orleans,2015-11-15
112,LA Lakers,Detroit,2015-11-15
113,Chicago,Indiana,2015-11-16
114,Memphis,Okla City,2015-11-16
115,San Antonio,Portland,2015-11-16
116,Houston,Boston,2015-11-16
117,Phoenix,LA Lakers,2015-11-16
118,Philadelphia,Dallas,2015-11-16
119,Detroit,Cleveland,2015-11-17
120,Golden State,Toronto,2015-11-17
121,New York,Charlotte,2015-11-17
122,Miami,Minnesota,2015-11-17
123,Washington,Milwaukee,2015-11-17
124,New Orleans,Denver,2015-11-17
125,Brooklyn,Atlanta,2015-11-17
126,Utah,Toronto,2015-11-18
127,Phoenix,Chicago,2015-11-18
128,Boston,Dallas,2015-11-18
129,Orlando,Minnesota,2015-11-18
130,Atlanta,Sacramento,2015-11-18
131,San Antonio,Denver,2015-11-18
132,Houston,Portland,2015-11-18
133,Charlotte,Brooklyn,2015-11-18
134,Okla City,New Orleans,2015-11-18
135,Philadelphia,Indiana,2015-11-18
136,LA Clippers,Golden State,2015-11-19
137,Miami,Sacramento,2015-11-19
138,Cleveland,Milwaukee,2015-11-19
139,Dallas,Utah,2015-11-20
140,Minnesota,Detroit,2015-11-20
141,Okla City,New York,2015-11-20
142,Golden State,Chicago,2015-11-20
143,Portland,LA Clippers,2015-11-20
144,Denver,Phoenix,2015-11-20
145,LA Lakers,Toronto,2015-11-20
146,Memphis,Houston,2015-11-20
147,Boston,Brooklyn,2015-11-20
148,New Orleans,San Antonio,2015-11-20
149,Charlotte,Philadelphia,2015-11-20
150,Cleveland,Atlanta,2015-11-21
151,San Antonio,Memphis,2015-11-21
152,Detroit,Washington,2015-11-21
153,Houston,New York,2015-11-21
154,Orlando,Sacramento,2015-11-21
155,Indiana,Milwaukee,2015-11-21
156,Miami,Philadelphia,2015-11-21
157,LA Clippers,Toronto,2015-11-22
158,Okla City,Dallas,2015-11-22
159,New Orleans,Phoenix,2015-11-22
160,Denver,Golden State,2015-11-22
161,Brooklyn,Boston,2015-11-22
162,LA Lakers,Portland,2015-11-22
163,Utah,Okla City,2015-11-23
164,Miami,New York,2015-11-23
165,San Antonio,Phoenix,2015-11-23
166,Cleveland,Orlando,2015-11-23
167,Charlotte,Sacramento,2015-11-23
168,Milwaukee,Detroit,2015-11-23
169,Minnesota,Philadelphia,2015-11-23
170,Atlanta,Boston,2015-11-24
171,Memphis,Dallas,2015-11-24
172,Washington,Indiana,2015-11-24
173,Portland,Chicago,2015-11-24
174,Denver,LA Clippers,2015-11-24
175,Golden State,LA Lakers,2015-11-24
176,Toronto,Cleveland,2015-11-25
177,Detroit,Miami,2015-11-25
178,LA Clippers,Utah,2015-11-25
179,Minnesota,Atlanta,2015-11-25
180,San Antonio,Dallas,2015-11-25
181,Orlando,New York,2015-11-25
182,Charlotte,Washington,2015-11-25
183,Milwaukee,Sacramento,2015-11-25
184,Houston,Memphis,2015-11-25
