,Date,Home_Team_Name,Vistor_Team_Name,Home_Points,Away_Points
0,2015-11-01,Celtics,Spurs,87.0,95.0
1,2015-11-01,Heat,Rockets,109.0,89.0
2,2015-11-01,Hornets,Hawks,92.0,94.0
3,2015-11-01,Thunder,Nuggets,117.0,93.0
4,2015-11-01,Raptors,Bucks,106.0,87.0
5,2015-11-01,Bulls,Magic,92.0,87.0
6,2015-11-01,Lakers,Mavericks,93.0,103.0
7,2015-11-02,Rockets,Thunder,110.0,105.0
8,2015-11-02,Warriors,Grizzlies,119.0,69.0
9,2015-11-02,Clippers,Suns,102.0,96.0
10,2015-11-02,Knicks,Spurs,84.0,94.0
11,2015-11-02,Timberwolves,Trail Blazers,101.0,106.0
12,2015-11-02,Nets,Bucks,96.0,103.0
13,2015-11-02,76ers,Cavaliers,100.0,107.0
14,2015-11-03,Mavericks,Raptors,91.0,102.0
15,2015-11-03,Heat,Hawks,92.0,98.0
16,2015-11-03,Kings,Grizzlies,89.0,103.0
17,2015-11-03,Hornets,Bulls,130.0,105.0
18,2015-11-03,Pistons,Pacers,82.0,94.0
19,2015-11-03,Pelicans,Magic,94.0,103.0
20,2015-11-03,Lakers,Nuggets,109.0,120.0
21,2015-11-04,Thunder,Raptors,98.0,103.0
22,2015-11-04,Warriors,Clippers,112.0,108.0
23,2015-11-04,Jazz,Trail Blazers,92.0,108.0
24,2015-11-04,Wizards,Spurs,102.0,99.0
25,2015-11-04,Pacers,Celtics,100.0,98.0
26,2015-11-04,Suns,Kings,118.0,97.0
27,2015-11-04,Rockets,Magic,119.0,114.0
28,2015-11-04,Cavaliers,Knicks,96.0,86.0
29,2015-11-04,Hawks,Nets,101.0,87.0
30,2015-11-04,Bucks,76ers,91.0,87.0
31,2015-11-05,Trail Blazers,Grizzlies,115.0,96.0
32,2015-11-05,Bulls,Thunder,104.0,98.0
33,2015-11-05,Mavericks,Hornets,94.0,108.0
34,2015-11-05,Nuggets,Jazz,84.0,96.0
35,2015-11-05,Timberwolves,Heat,84.0,96.0
36,2015-11-06,Suns,Pistons,92.0,100.0
37,2015-11-06,Pacers,Heat,90.0,87.0
38,2015-11-06,Celtics,Wizards,118.0,98.0
39,2015-11-06,Magic,Raptors,92.0,87.0
40,2015-11-06,Kings,Rockets,110.0,116.0
41,2015-11-06,Pelicans,Hawks,115.0,121.0
42,2015-11-06,Knicks,Bucks,92.0,99.0
43,2015-11-06,Warriors,Nuggets,119.0,104.0
44,2015-11-06,Nets,Lakers,98.0,104.0
45,2015-11-06,Cavaliers,76ers,108.0,102.0
46,2015-11-07,Spurs,Hornets,114.0,94.0
47,2015-11-07,Jazz,Grizzlies,89.0,79.0
48,2015-11-07,Hawks,Wizards,114.0,99.0
