,Date,Home_Team_Name,Vistor_Team_Name,Home_Points,Away_Points
0,11/1/2015,Celtics,Spurs,87,95
1,11/1/2015,Heat,Rockets,109,89
2,11/1/2015,Hornets,Hawks,92,94
3,11/1/2015,Thunder,Nuggets,117,93
4,11/1/2015,Raptors,Bucks,106,87
5,11/1/2015,Bulls,Magic,92,87
6,11/1/2015,Lakers,Mavericks,93,103
7,11/2/2015,Rockets,Thunder,110,105
8,11/2/2015,Warriors,Grizzlies,119,69
9,11/2/2015,Clippers,Suns,102,96
10,11/2/2015,Knicks,Spurs,84,94
11,11/2/2015,Timberwolves,Trail Blazers,101,106
12,11/2/2015,Nets,Bucks,96,103
13,11/2/2015,76ers,Cavaliers,100,107
14,11/3/2015,Mavericks,Raptors,91,102
15,11/3/2015,Heat,Hawks,92,98
16,11/3/2015,Kings,Grizzlies,89,103
17,11/3/2015,Hornets,Bulls,130,105
18,11/3/2015,Pistons,Pacers,82,94
19,11/3/2015,Pelicans,Magic,94,103
20,11/3/2015,Lakers,Nuggets,109,120
21,11/4/2015,Thunder,Raptors,98,103
22,11/4/2015,Warriors,Clippers,112,108
23,11/4/2015,Jazz,Trail Blazers,92,108
24,11/4/2015,Wizards,Spurs,102,99
25,11/4/2015,Pacers,Celtics,100,98
26,11/4/2015,Suns,Kings,118,97
27,11/4/2015,Rockets,Magic,119,114
28,11/4/2015,Cavaliers,Knicks,96,86
29,11/4/2015,Hawks,Nets,101,87
30,11/4/2015,Bucks,76ers,91,87
31,11/5/2015,Trail Blazers,Grizzlies,115,96
32,11/5/2015,Bulls,Thunder,104,98
33,11/5/2015,Mavericks,Hornets,94,108
34,11/5/2015,Nuggets,Jazz,84,96
35,11/5/2015,Timberwolves,Heat,84,96
36,11/6/2015,Suns,Pistons,92,100
37,11/6/2015,Pacers,Heat,90,87
38,11/6/2015,Celtics,Wizards,118,98
39,11/6/2015,Magic,Raptors,92,87
40,11/6/2015,Kings,Rockets,110,116
41,11/6/2015,Pelicans,Hawks,115,121
42,11/6/2015,Knicks,Bucks,92,99
43,11/6/2015,Warriors,Nuggets,119,104
44,11/6/2015,Nets,Lakers,98,104
45,11/6/2015,Cavaliers,76ers,108,102
46,11/7/2015,Spurs,Hornets,114,94
47,11/7/2015,Jazz,Grizzlies,89,79
48,11/7/2015,Hawks,Wizards,114,99
49,11/7/2015,Clippers,Rockets,105,109
50,11/7/2015,Bulls,Timberwolves,93,102
51,11/7/2015,Mavericks,Pelicans,107,98
52,11/7/2015,76ers,Magic,97,105
53,11/7/2015,Kings,Warriors,94,103
54,11/7/2015,Bucks,Nets,94,86
55,11/8/2015,Trail Blazers,Pistons,103,120
56,11/8/2015,Heat,Raptors,96,76
57,11/8/2015,Thunder,Suns,124,103
58,11/8/2015,Cavaliers,Pacers,101,97
59,11/8/2015,Knicks,Lakers,99,95
60,11/9/2015,Warriors,Pistons,109,95
61,11/9/2015,Pacers,Magic,97,84
62,11/9/2015,Hawks,Timberwolves,107,117
63,11/9/2015,Clippers,Grizzlies,94,92
64,11/9/2015,Nuggets,Trail Blazers,108,104
65,11/9/2015,Kings,Spurs,88,106
66,11/9/2015,76ers,Bulls,88,111
67,11/10/2015,Cavaliers,Jazz,118,114
68,11/10/2015,Timberwolves,Hornets,95,104
69,11/10/2015,Wizards,Thunder,101,125
70,11/10/2015,Raptors,Knicks,109,111
71,11/10/2015,Bucks,Celtics,83,99
72,11/10/2015,Pelicans,Mavericks,120,105
73,11/10/2015,Heat,Lakers,101,88
74,11/11/2015,Celtics,Pacers,91,102
75,11/11/2015,Trail Blazers,Spurs,101,113
76,11/11/2015,Mavericks,Clippers,118,108
77,11/11/2015,Hornets,Knicks,95,93
78,11/11/2015,Hawks,Pelicans,106,98
79,11/11/2015,Grizzlies,Warriors,84,100
80,11/11/2015,Kings,Pistons,101,92
81,11/11/2015,Nuggets,Bucks,103,102
82,11/11/2015,Magic,Lakers,101,99
83,11/11/2015,76ers,Raptors,103,119
84,11/11/2015,Rockets,Nets,98,106
85,11/12/2015,Heat,Jazz,92,91
86,11/12/2015,Suns,Clippers,118,104
87,11/12/2015,Timberwolves,Warriors,116,129
88,11/13/2015,Bulls,Hornets,102,97
89,11/13/2015,Celtics,Hawks,106,93
90,11/13/2015,Pacers,Timberwolves,107,103
91,11/13/2015,Grizzlies,Trail Blazers,101,100
92,11/13/2015,Magic,Jazz,102,93
93,11/13/2015,Knicks,Cavaliers,84,90
94,11/13/2015,Nuggets,Rockets,107,98
95,11/13/2015,Raptors,Pelicans,100,81
96,11/13/2015,Mavericks,Lakers,90,82
97,11/13/2015,Kings,Nets,111,109
98,11/13/2015,Thunder,76ers,102,85
99,11/14/2015,Clippers,Pistons,101,96
100,11/14/2015,Suns,Nuggets,105,81
101,11/14/2015,Wizards,Magic,108,99
102,11/14/2015,Rockets,Mavericks,98,110
103,11/14/2015,Bucks,Cavaliers,108,105
104,11/14/2015,Spurs,76ers,92,83
105,11/14/2015,Warriors,Nets,107,99
106,11/15/2015,Thunder,Celtics,85,100
107,11/15/2015,Hawks,Jazz,96,97
108,11/15/2015,Hornets,Trail Blazers,106,94
109,11/15/2015,Timberwolves,Grizzlies,106,114
110,11/15/2015,Kings,Raptors,107,101
111,11/15/2015,Knicks,Pelicans,95,87
112,11/15/2015,Lakers,Pistons,97,85
113,11/16/2015,Bulls,Pacers,96,95
114,11/16/2015,Grizzlies,Thunder,122,114
115,11/16/2015,Spurs,Trail Blazers,93,80
116,11/16/2015,Rockets,Celtics,95,111
117,11/16/2015,Suns,Lakers,120,101
118,11/16/2015,76ers,Mavericks,86,92
119,11/17/2015,Pistons,Cavaliers,104,99
120,11/17/2015,Warriors,Raptors,115,110
121,11/17/2015,Knicks,Hornets,102,94
122,11/17/2015,Heat,Timberwolves,91,103
123,11/17/2015,Wizards,Bucks,115,86
124,11/17/2015,Pelicans,Nuggets,98,115
125,11/17/2015,Nets,Hawks,90,88
126,11/18/2015,Jazz,Raptors,93,89
127,11/18/2015,Suns,Bulls,97,103
128,11/18/2015,Celtics,Mavericks,102,106
129,11/18/2015,Magic,Timberwolves,104,101
130,11/18/2015,Hawks,Kings,103,97
131,11/18/2015,Spurs,Nuggets,109,98
132,11/18/2015,Rockets,Trail Blazers,108,103
133,11/18/2015,Hornets,Nets,116,111
134,11/18/2015,Thunder,Pelicans,110,103
135,11/18/2015,76ers,Pacers,85,112
136,11/19/2015,Clippers,Warriors,117,124
137,11/19/2015,Heat,Kings,116,109
138,11/19/2015,Cavaliers,Bucks,115,100
139,11/20/2015,Mavericks,Jazz,102,93
140,11/20/2015,Timberwolves,Pistons,86,96
141,11/20/2015,Thunder,Knicks,90,93
142,11/20/2015,Warriors,Bulls,106,94
143,11/20/2015,Trail Blazers,Clippers,102,91
144,11/20/2015,Nuggets,Suns,107,114
145,11/20/2015,Lakers,Raptors,91,102
146,11/20/2015,Grizzlies,Rockets,96,84
147,11/20/2015,Celtics,Nets,120,95
148,11/20/2015,Pelicans,Spurs,104,90
149,11/20/2015,Hornets,76ers,113,88
150,11/21/2015,Cavaliers,Hawks,109,97
151,11/21/2015,Spurs,Grizzlies,92,82
152,11/21/2015,Pistons,Wizards,95,97
153,11/21/2015,Rockets,Knicks,102,107
154,11/21/2015,Magic,Kings,91,97
155,11/21/2015,Pacers,Bucks,123,86
156,11/21/2015,Heat,76ers,96,91
157,11/22/2015,Clippers,Raptors,80,91
158,11/22/2015,Thunder,Mavericks,117,114
159,11/22/2015,Pelicans,Suns,122,116
160,11/22/2015,Nuggets,Warriors,105,118
161,11/22/2015,Nets,Celtics,111,101
162,11/22/2015,Lakers,Trail Blazers,93,107
163,11/23/2015,Jazz,Thunder,89,111
164,11/23/2015,Heat,Knicks,95,78
165,11/23/2015,Spurs,Suns,98,84
166,11/23/2015,Cavaliers,Magic,117,103
167,11/23/2015,Hornets,Kings,127,122
168,11/23/2015,Bucks,Pistons,109,88
169,11/23/2015,Timberwolves,76ers,100,95
170,11/24/2015,Hawks,Celtics,121,97
171,11/24/2015,Grizzlies,Mavericks,110,96
172,11/24/2015,Wizards,Pacers,106,123
173,11/24/2015,Trail Blazers,Bulls,88,93
174,11/24/2015,Nuggets,Clippers,94,111
175,11/24/2015,Warriors,Lakers,111,77
176,11/25/2015,Raptors,Cavaliers,103,99
177,11/25/2015,Pistons,Heat,104,81
