,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.989,0.989,0.957,0.957,1.588,1.588,46.2,46.2,47.6,47.6,1.027,1.011,0.924,1.069,1.452,1.692,51.4,51.1,48.5,52.9
1,1.039,1.096,1.039,0.991,1.692,1.769,52,57.5,45.9,42.9,0.87,0.87,1.067,1.067,1.059,1.059,39.3,39.3,54.7,54.7
2,0.961,0.961,1.027,1.027,1.345,1.345,45.3,45.3,52.6,52.6,0.991,1.055,0.985,0.951,1.543,1.625,51.6,56.6,45.5,44.1
3,1.08,1.069,1.041,1.011,1,1.105,50.8,52.9,50.5,51.1,0.904,1.045,0.889,0.846,1.139,1.238,44.8,58.9,41.1,39.1
4,0.99,0.98,0.913,0.916,0.977,0.905,50,49.4,42.1,42.4,1.026,1.026,1.172,1.172,1.471,1.471,47.6,47.6,54.3,54.3
5,0.968,0.942,0.927,0.922,0.962,1,51,46.6,42.4,45.2,0.972,0.972,0.99,0.99,1.324,1.324,44.9,44.9,46.6,46.6
6,1.029,1.051,1.116,1.061,1.152,1.286,47.3,42.5,51.9,48.8,0.959,0.959,0.959,0.959,2.19,2.19,45.6,45.6,45.4,45.4
7,0.873,0.87,1.07,1.067,1.077,1.059,41.7,39.3,54.5,54.7,1.106,1.09,1.007,1.066,1.22,0.905,53.5,49.1,48.1,50
8,1.121,1.046,0.964,0.895,2.132,1.45,54,47.4,45.5,45.8,1.003,1.136,1.041,1.045,1.718,1.857,46.3,54.3,53.9,55.1
9,1.037,1.032,0.948,0.932,1.65,1.84,52.7,50.9,44.7,42.4,0.971,1.001,0.93,0.892,0.941,1.231,45.6,47.3,48.2,46.8
10,1.063,0.951,0.998,1.055,1.294,1,48.9,44.1,47.3,56.6,0.986,0.959,0.892,0.95,1.314,1.333,49.8,48.9,44.8,45.4
11,0.997,0.997,0.91,0.91,1.615,1.615,46.4,46.4,37.8,37.8,0.938,0.84,0.973,1.005,1.157,0.739,49.6,44.8,46.6,47
12,0.911,0.972,1.089,1.118,1.425,1.462,45,41.9,54.1,62.8,0.996,0.931,1.16,1.134,1.365,1.167,47,45.7,53.4,51.7
13,0.84,0.762,1.068,1.062,0.628,0.789,40.5,34.9,47.7,44.9,1.027,0.999,0.898,0.86,1.951,1.833,50,50.6,43.3,41.7
14,0.982,0.982,0.949,0.949,2.313,2.313,47.8,47.8,44.4,44.4,1.033,1,0.919,0.911,1.123,1.045,50.6,50.6,43.1,41.8
15,1.052,1.086,0.983,0.933,1.659,1.679,52.8,55.7,46.2,44.8,0.999,1.017,0.946,0.953,1.69,1.778,50.2,51.2,45.7,44.7
16,1.053,1.077,1.035,1.027,1.522,1.563,49.8,52.1,54.1,54.1,0.958,0.892,1.063,1.094,2.086,1.808,42.8,40.4,54.4,56.5
