TrueHome,TrueAway,RFHome,RFAway,LRHome,LRAway,NNHome,NNAway
97,113,113.1,106.8,112.5,105.5,113.1,105.6
95,93,109.4,105.9,110.5,106.1,112.8,105.3
109,117,108.8,103.1,111.2,102,112.1,104.8
102,95,109.2,104,110.7,105.2,108.4,101.3
106,111,111.7,114,111.2,112.7,112.9,105.5
101,107,107.1,107.6,108.5,108,110.9,103.6
100,97,102.9,99.3,104,98.4,107.1,100.1
123,132,115.5,113.3,115.2,115.9,119.5,111.7
106,89,113.5,107.1,114.1,107.2,114.9,107.4
113,100,106.3,102.7,107.4,103.6,108.4,101.3
105,103,107.6,112.8,105.6,111.6,111,103.7
105,94,104.9,98.9,102.4,96.6,111.3,104
112,95,103.2,110.4,102.9,113.6,110.3,103
112,93,100.6,103.9,101.3,105.2,106.1,99.1
99,109,106.7,103,105.3,104.1,109,101.8
118,109,110,108.6,110.2,106.9,111,103.7
98,115,104.1,106.1,103.7,107.7,109.5,102.3
101,95,110.5,113.5,111.9,116.7,119,111.1
119,105,111.5,111.4,110.9,112.7,116.2,108.6
87,93,100.5,103.8,101.8,106.4,107.7,100.6
113,104,107.7,111.4,105.3,110,112.1,104.7
115,110,112.8,111.6,115.3,114.5,120.8,112.9
118,88,115,104.1,115.4,104.8,112.7,105.3
88,99,106.3,101.3,107.7,100.1,106.7,99.6
131,123,108.1,99.6,111.2,99.3,108.8,101.7
136,134,107.3,110.3,107.6,112.6,112.2,104.8
102,104,107.8,111.5,109.2,110.9,111.4,104.1
103,112,105.9,105,105.7,106,107.9,100.8
102,111,111.1,108.2,111.9,109.3,113.2,105.8
127,131,110.4,106,109.9,107.9,112.4,105
106,108,115.3,109.5,113.6,107.1,110.8,103.5
92,99,104.2,103.4,100.1,103.9,104,97.2
85,97,108.1,100.6,107.3,96.4,103.2,96.4
102,82,112.9,110.6,115.1,110.4,115,107.4
109,118,107.7,105.6,108.7,105.8,110.3,103
128,101,107.7,104.5,110.5,106.1,112.2,104.8
107,103,110.8,110.5,109.7,106.2,112.4,105
114,118,103.4,99.8,102.9,103.7,109.1,101.9
86,83,109.2,102.3,108.1,102.4,109.8,102.5
117,113,104.2,106.9,98.9,103.7,104.6,97.7
98,107,109.7,109.6,109.3,111.5,113.1,105.7
93,80,105.1,97.7,107.2,93.2,106.1,99.1
137,121,103.1,104.9,100.2,105.5,108.2,101.1
125,131,107.9,106.5,109,110.2,112.3,105
118,93,109.3,110,107.9,110.1,109.6,102.4
110,106,110,108.1,110.3,108.7,112.5,105.1
103,111,110.1,101.5,112.3,101.4,110.6,103.3
105,101,104.2,104.7,104.8,105,108.5,101.3
101,112,104,105,106.2,105.9,112.4,105
82,105,102.7,101.5,100.9,99.6,108,100.9
124,100,111.7,101.1,110.7,97.3,113.4,105.9
115,116,104.8,107.9,106.3,110.1,113.2,105.7
82,107,104.3,105.6,105,105.6,111.6,104.3
120,100,112.4,106.3,113.6,106.7,112.2,104.8
128,120,110.7,106.5,110.6,101.2,108.1,101
110,105,113,107.2,113.2,109,118.5,110.7
113,100,105.1,100.9,108.4,100.3,109.1,101.9
112,118,100.9,102.4,96.7,103.7,107.6,100.5
119,99,113.4,104.8,112.5,102.6,110.5,103.2
101,103,108.7,109.4,106.8,107,109.7,102.5
87,105,108.6,110,107.6,108.8,109.6,102.4
110,105,107.7,108.3,107.9,106.5,112.1,104.7
99,113,108.9,106.8,109,108.2,114.7,107.2
111,97,107.9,109.2,108.1,111.4,111.6,104.2
86,115,108.3,107.9,107.5,106.7,105.1,98.1
121,112,113.1,107.1,115,108.9,116,108.4
123,110,118,111.1,115.7,110.7,117.4,109.7
112,122,105.7,103,107.8,103.8,112.6,105.2
118,99,107.2,105.9,107.9,106.3,108.1,101
109,104,109.6,106.5,110.2,107,112.5,105.1
107,120,109.9,108.3,110.9,107.9,112.6,105.2
112,100,104.3,100.7,107.8,99.5,108.3,101.2
117,110,115.9,110.2,114.8,108.7,113.7,106.2
115,89,102.1,98.6,103,98.6,105.1,98.2
106,93,101.2,103.2,99,100.3,107.2,100.1
95,92,101.5,101.5,103.5,103,104.4,97.5
119,80,109,101.9,109.8,104.3,109.2,102
103,118,112.1,115.5,109.6,111.8,112.7,105.3
122,125,107.5,108.9,108,109.9,113.3,105.8
